x,y,z
-0.5805984610202355,-0.3517530847157761,-9.267634638884813
-0.5981533268740039,-0.7429477337787134,-9.25081543851206
-0.8499670981638121,-1.0362557478385828,-9.297673418519093
-0.9719576007567068,-1.1561354205647678,-9.264634082026292
-1.2026319843157347,-1.5317127967250137,-9.17499274542556
-1.7471385925087264,-1.4159413270143215,-9.304099411759632
-2.2764824719920416,-0.8501047890072595,-9.474886043002916
-2.4043521525586837,-0.2530048793334885,-9.471422146948845
-2.275236687569691,-0.4153814393702504,-9.4384773546966
-2.096376857116523,-0.9559328736459688,-9.471559053812973
-1.8750613154863944,-1.3971147827967787,-9.534275763214476
-1.3752330552193273,-1.8839700576663176,-9.503889797015267
-0.4631022062019774,-2.114742345117044,-9.322030359560316
0.2137813339709227,-1.3798558094929536,-9.192168624229058
0.0394406947215552,-0.5350968336198108,-9.237868427165008
-0.2431632740057345,-0.5506202367428585,-9.222287184206175
-0.5721606141581524,-0.7117608663876709,-9.171146993605676
-0.8465980374140898,-0.9136042873613536,-9.180750622584233
-1.264908137236264,-1.473061607805766,-9.136999227062947
-1.7996200520748118,-1.6940257987987088,-9.025136994969944
-2.227416914925959,-1.958798773283581,-8.89476109721775
-2.274075643732912,-1.9584361256840133,-8.94616292214861
-2.934423868272269,-1.6129399846831678,-9.039541265022752
-3.452882450784648,-1.1678761748340154,-9.050170820954202
-3.358416135343886,-1.295789518653967,-9.088954279248458
-3.119461815046249,-1.3210447809700714,-9.13397789964626
-2.4983977691035504,-1.234123799822644,-9.311862027664608
-2.0695057579733334,-1.538128639532328,-9.416246351512244
-1.3968700347605283,-1.9141496087146823,-9.49070541897384
-0.7717613825750633,-1.689627766759866,-9.566393882291134
-0.311124047180183,-1.0156529144163855,-9.594826056746982
-0.2127636386283675,-0.7005958228674647,-9.483054488375403
-0.4802994210038993,-0.5539525277409254,-9.399618428339442
-0.6921609730193325,-0.3629334417962191,-9.372414259633032
-1.2692393513645794,-0.7858543186722269,-9.344114310990552
-2.018886394493696,-1.4171712273546238,-9.200200227808612
-3.077697630596964,-1.649786341256105,-8.934713739862387
-4.146384643997323,-0.9724333403803094,-8.821249483107978
-4.597903550285813,-0.5492692159897317,-8.724476972255616
-4.731115901501111,-0.2147043598386986,-8.603243429592242
-4.691045241034031,0.2782993518042698,-8.562747561792213
-4.211974170451336,0.3658807577037493,-8.749335569717427
-3.6700009514873857,-0.0570206182107675,-8.926540695046608
-3.240210823717057,-0.5834795056939228,-9.209627743171048
-2.9296669488242117,-1.180172301243143,-9.321881348363492
-2.163994771706233,-1.4647292259894673,-9.449075263593311
-1.135626658198987,-1.4183504230669968,-9.38725282496789
-0.5044294268315561,-0.5979698751095466,-9.282386286376909
-0.1189269716369167,-0.2175669169897034,-9.164896174001928
0.0179502916544569,-0.3608620766382344,-9.126944137994634
-0.1496948407777154,-0.9882216545922482,-9.107271644480258
-0.5110375458498371,-1.45277224616302,-9.150407438684926
-1.0772472878131203,-1.9951002451544892,-9.088538076691352
-1.7060214681268826,-2.358102415119893,-9.007705716015144
-2.4190942045327297,-2.5129862844746924,-8.892907951160083
-2.941022599423209,-1.8847729531671968,-9.076694360571835
-3.530770087619532,-1.188605296845342,-9.110058780752167
-3.5028262691960466,-1.0061846575060986,-9.140650819764002
-3.412523658462446,-1.17561272605559,-9.115478623041184
-3.175158064484689,-1.2223062094665131,-9.179075563232836
-2.8684889590760427,-1.664486716695583,-9.186794614040052
-2.3137501418442024,-2.013905322563751,-9.3098174366514
-1.681623946184056,-1.740116275225832,-9.446746757338897
-1.1702557820499755,-1.4133458084379793,-9.348130438626022
-0.890146486984615,-0.9052378536248558,-9.168081850413683
-0.790573990057637,-0.4590728456917947,-9.008815692684964
-0.560180384987947,-0.2801518404583056,-9.014942630793968
-0.7658738524295794,-0.7934627281583158,-9.03771707532536
-1.239440716714328,-1.3916106003636646,-9.11028955454987
-1.6232351738061075,-1.6724027877108334,-9.061784432967835
-2.218651044371959,-1.8522656593127584,-9.06178791275691
-2.506763531781248,-1.9781725412481084,-9.077556986889476
-2.741122360605512,-1.888021077646128,-9.130268995661432
-3.015608875027904,-1.4986877654407689,-9.241924641296272
-3.2563815427634046,-1.3804919461487763,-9.199445688200598
-3.2387580301115557,-1.5635006663920574,-9.192903258404844
-3.0603524798357142,-1.6890656095908092,-9.228380546546614
-2.830285542747641,-1.609486179258269,-9.33493881471676
-2.4747171320299177,-1.8637484107420037,-9.385697738219278
-1.9226714019798945,-1.99693347995464,-9.459969349364536
-1.2232974883186774,-1.4531806141113748,-9.455316237637184
-0.9740251178668792,-0.8672180637274405,-9.264345719582
-0.8701770096479184,-0.3326068804652919,-8.922954959013259
-0.8920665914521126,0.0775135037689942,-8.608741589830142
-0.7777680574522741,0.063631687496267,-8.56997193423743
-1.3092503752895412,-0.2634951398921732,-8.69074634969264
-1.8213539960015492,-0.7407124708072921,-8.840006794009835
-2.184480122817004,-1.2320340870329325,-8.799582690883508
-2.6921740755245773,-1.427346326785992,-8.764761361887969
-3.0205549809977885,-1.4271672235005273,-8.795669687968674
-3.277970921579924,-1.3613070448134454,-8.871463668622724
-3.5524795136698133,-1.104172865582013,-9.00040383020252
-3.5356254461429435,-1.1037353609349818,-9.07659874213461
-3.258010369644626,-1.305291354249977,-9.112080061903388
-2.783900955711609,-1.409747737594163,-9.29437053985179
-2.256720597238484,-1.7363750848375563,-9.382856747678554
-1.4638877861888102,-2.175459726359668,-9.457062995484469
-0.813654475473537,-2.276974374126618,-9.511001428088846
-0.3159643052573424,-1.7515712170945363,-9.593723666832334
-0.1645919412117432,-1.2796845586255614,-9.561264493624138
-0.2487108363327938,-1.080806682688559,-9.372725529741254
-0.4426778710693338,-0.7986226974539719,-9.121746475696067
-0.7065467709936073,-0.6370337800739332,-9.041419067473113
-1.2711070643378048,-1.00253677918103,-9.040015474986372
-1.779529290588248,-1.437905324762447,-8.954008847850464
-2.23436397667676,-1.5592379477713187,-8.844041376416081
-2.82078473973624,-1.466905977079941,-8.787272947677538
-3.2532331298145367,-1.3585762104651469,-8.747744179234521
-3.6411662529610487,-1.4175259270150402,-8.69195391383987
-4.041584104656229,-1.24877896141407,-8.764074885689986
-4.134773683803329,-1.3430427009749462,-8.795910062825804
-3.856715245783169,-1.5431731812142893,-8.848693079412046
-3.413660699720785,-1.5840045387519217,-9.060724794732243
